Herd-Year-Classifier,Age_class_at_first_calving,Class_of_days_in_milk,Animal,Front_muscularity,Udder,Thorax_depth,Thinness,Fore_udder_attach,Rear_udder_attach,Udder_width
139,4,5,19018,4,3,2,3,3,3,3
178,6,4,565,2,2,3,3,2,2,2
178,4,4,566,2,2,2,3,1,2,2
178,5,3,567,2,2,2,3,1,2,2
178,5,5,568,2,2,3,3,2,2,2
180,6,4,395,3,2,3,3,2,2,3
195,4,4,107,2,3,3,3,2,3,2
42,4,5,550,3,3,3,2,3,3,3
42,5,5,551,3,3,3,4,4,3,3
42,5,5,552,4,3,4,4,1,3,3
44,6,3,539,2,3,2,3,3,3,2
44,4,5,540,3,3,3,3,4,3,4
44,5,5,541,2,3,4,4,2,3,4
45,5,5,546,4,3,3,4,2,3,1
45,7,3,547,4,3,4,3,3,3,2
45,8,4,735,3,3,2,3,4,3,3
47,6,3,43,3,3,4,4,3,3,3
47,5,5,44,3,3,4,3,4,3,4
47,5,4,45,4,3,4,4,3,3,2
47,5,5,46,3,3,4,3,3,3,3
47,5,4,1026,2,3,2,3,3,3,3
47,5,5,1027,3,3,2,3,4,3,2
47,1,2,1611,2,3,3,3,3,3,3
48,6,4,548,3,3,4,4,4,3,3
48,6,4,549,2,3,3,3,2,3,2
49,9,5,11,4,3,4,4,3,3,4
49,5,5,553,4,3,4,3,2,3,3
49,7,2,554,3,3,4,3,3,3,2
49,6,2,555,4,3,4,2,3,3,3
49,3,5,556,2,3,3,3,2,3,1
50,7,2,543,4,3,4,3,3,3,3
50,6,3,544,3,3,3,3,3,3,3
50,5,4,545,3,3,3,3,3,3,3
200,6,4,59,3,3,4,3,3,3,3
200,5,4,60,3,3,4,3,2,3,3
200,6,4,61,3,3,4,3,3,3,3
200,5,5,62,3,3,4,3,4,3,3
200,5,4,149,3,3,4,4,4,3,3
200,4,5,462,3,3,4,3,3,3,3
201,4,3,488,2,3,2,3,2,3,2
201,4,3,489,3,3,3,3,3,3,3
201,4,3,490,3,3,4,3,3,3,3
202,5,4,588,2,3,3,3,3,3,3
202,4,5,18821,1,3,2,2,3,3,3
203,6,3,607,4,2,3,3,3,2,2
203,5,4,18931,3,2,4,3,1,3,3
278,5,4,1154,4,3,3,3,2,3,3
278,5,4,1155,3,3,3,2,3,3,3
12,3,5,644,3,4,4,4,3,4,4
12,5,4,650,3,2,4,3,2,3,3
32,5,4,916,3,3,3,3,3,3,3
32,3,4,917,3,3,3,3,4,3,3
32,5,4,18925,2,3,3,3,3,3,2
354,5,4,455,4,2,4,3,2,3,2
354,5,4,457,4,3,3,3,3,3,3
354,5,4,624,3,3,4,3,3,4,3
354,5,4,19005,2,3,3,3,3,3,3
374,5,4,349,3,2,3,2,3,2,2
374,5,4,352,3,1,3,4,1,2,2
28,6,4,448,4,3,4,3,3,3,3
28,5,4,619,3,3,4,3,3,3,3
28,5,4,18814,4,3,4,3,3,3,3
28,6,4,18922,3,3,3,3,3,3,2
